t_s,sigma_actual_rad,sigma_actual_deg,nom_r_m,nom_alt_m,nom_phi_rad,nom_lam_rad,nom_V_mps,nom_gamma_rad,nom_chi_rad,nom_gamma_deg,nom_chi_deg,rho_lo,rho_hi,q_lo,q_hi,alt_lo,alt_hi,safety_status,layer_indices,r_m_lo,r_m_hi,r_m_width,phi_rad_lo,phi_rad_hi,phi_rad_width,lam_rad_lo,lam_rad_hi,lam_rad_width,V_mps_lo,V_mps_hi,V_mps_width,gamma_rad_lo,gamma_rad_hi,gamma_rad_width,chi_rad_lo,chi_rad_hi,chi_rad_width,heating_qdot_max_lo,heating_qdot_max_hi,heating_Q_max_lo,heating_Q_max_hi
78.5,0.6108652381980153,35.0,6439286.396883246,61186.39688324556,0.09107725905335295,-0.00013140717540339246,7634.542686128849,-0.09958044614290501,1.5755462992127374,-5.705539286018254,90.27215337234583,0.00026079602217757097,0.000272933061994065,7560.641026002856,7995.850223043203,61036.39688324556,61336.39688324556,inside,5,6438941.166565281,6439252.104794394,310.9382291128859,0.09119679514670309,0.09154758404738804,0.00035078890068494795,-0.00030838777189154843,4.275387672013876e-05,0.00035114164861168716,7616.357722141091,7656.487242341152,40.12952020006105,-0.10211378741960365,-0.09686784276537933,0.00524594465422433,1.5720972624485166,1.579081376388305,0.006984113939788372,247905.77796045443,1342369.5924512919,61976.44449011361,335592.39811282296
78.75,0.6108652381980153,35.0,6439096.648054685,60996.648054685444,0.09137219216834172,-0.00013281394067486986,7636.4215332255835,-0.09949086056079325,1.5755892881157672,-5.700406410258028,90.27461645505534,0.0002671244968039258,0.00027952892662283106,7747.929597872501,8193.103350299283,60846.648054685444,61146.648054685444,inside,5,6438751.540398743,6439062.480272643,310.9398739002645,0.09149181208610876,0.09184260104557587,0.00035078895946710764,-0.00030980807005765197,4.133429679546511e-05,0.0003511423668531171,7618.275158552142,7658.407380001324,40.132221449182,-0.10202149835914283,-0.09677540127011448,0.005246097089028345,1.572140697341559,1.579124871911575,0.0069841745700158775,251081.3562200911,1359493.6105600838,62770.33905502278,339873.40264002094
79.0,0.6108652381980153,35.0,6438907.022711081,60807.02271108143,0.09166720913798353,-0.00013423387975309293,7638.340299801353,-0.09939849629270625,1.5756327526271825,-5.695114327518828,90.27710678811803,0.000273588656351869,0.0002862656151446343,7939.420913130651,8394.764376611422,60657.02271108143,60957.02271108143,inside,5,6438562.042078445,6438872.983624192,310.9415457472205,0.091786914502158,0.09213770351838435,0.00035078901622634384,-0.0003112417051405331,3.9901392361977404e-05,0.0003511430975025105,7620.233354197664,7660.368332263939,40.134978066274925,-0.10192637121222481,-0.09668011861303408,0.005246252599190732,1.5721846151211492,1.5791688515615958,0.006984236440446656,254293.2533458091,1376812.6843182263,63573.31333645227,344203.1710795566
79.25,0.6108652381980153,35.0,6438717.525227264,60617.52522726357,0.09196231158327715,-0.00013566714955054574,7640.299852906135,-0.09930329241901245,1.5756767006317083,-5.689659547362877,90.27962482329538,0.0002801908607512996,0.00029314556482828427,8135.197322354388,8600.91928320729,60467.52522726357,60767.52522726357,inside,5,6438372.676080099,6438683.619325331,310.94324523210526,0.09208210405094847,0.09243289312185685,0.0003507890709083805,-0.00031268883704389387,3.845500377642379e-05,0.00035114384082031766,7622.233191284745,7662.370982272035,40.13779098728992,-0.10182834395078111,-0.09658193271521251,0.005246411235568599,1.5722290237711134,1.5792133233421226,0.0069842995710092115,257541.87658174254,1394328.9928123793,64385.469145435636,348582.2482030948
79.5,0.6108652381980153,35.0,6438528.160079238,60428.160079238005,0.09225750116029353,-0.0001371139098408585,7642.301075208963,-0.09920518688648113,1.5757211401229312,-5.684038514401949,90.28217101858615,0.00028693349165878705,0.00030017123511400987,8335.342423432461,8811.655345283953,60278.160079238005,60578.160079238005,inside,5,6438183.446982741,6438494.391955686,310.9449729444459,0.09237738242427707,0.09272817154773469,0.00035078912345762325,-0.0003141496285844067,3.6994968487179944e-05,0.00035114459707158663,7624.27556780287,7664.416228960206,40.14066115733658,-0.10172735339911035,-0.09648078034961902,0.005246573049491332,1.5722739313834129,1.5792582953651573,0.006984363981744401,260827.6386244355,1412044.7442112712,65206.90965610887,353011.1860528178
79.75,0.6108652381980153,35.0,6438338.931846333,60238.931846332736,0.09255277956080227,-0.0001385743233083362,7644.344865165797,-0.09910411649401393,1.5757660792026276,-5.678247607479848,90.28474583818796,0.0002938189518060141,0.000307345106932811,8539.941066371197,9027.061136736613,60088.931846332736,60388.931846332736,inside,5,6437994.359470912,6438305.306200394,310.94672948215157,0.09267275135027302,0.09302354052409016,0.00035078917381714536,-0.0003156242455416035,3.5521120984403974e-05,0.0003511453665260075,7626.361397688675,7666.50498721917,40.143589530494864,-0.10162333521970442,-0.09637659712695494,0.0052467380927494756,1.572319346157342,1.5793037758501398,0.006984429692797889,264150.9577038156,1429962.1761951654,66037.7394259539,357490.54404879134
80.0,0.6108652381980153,35.0,6438149.845213389,60049.845213389024,0.09284814851290453,-0.00014004855559782554,7646.432137184186,-0.09900001687847652,1.5758115260799586,-5.672283138860619,90.28734975245108,0.0003008496642972418,0.00031466968197308895,8749.079357346847,9247.226534094403,59899.845213389024,60199.845213389024,inside,5,6437805.418336891,6438116.366852344,310.9485154533759,0.09296821259403694,0.09331900181596556,0.0003507892219286185,-0.00031711285670807675,3.403329274987751e-05,0.00035114614945795425,7628.491610987185,7668.6381880567815,40.14657706959679,-0.1015162238991907,-0.09626931748160818,0.00524690641758252,1.5723652763985914,1.579349773123,0.006984496724408595,267512.2576638552,1448083.5563834705,66878.0644159638,362020.88909586763
80.25,0.6108652381980153,35.0,6437960.904972989,59860.90497298911,0.09314360978167226,-0.00014153677536489536,7648.563821784395,-0.0988928225006468,1.575857489070528,-5.666141353423445,90.2899832378245,0.00030802807185404817,0.0003221474818927847,8962.844661964238,9472.242719622118,59710.90497298911,60010.90497298911,inside,5,6437616.628482965,6437927.578814442,310.95033147744834,0.09326376795828617,0.09361455722601844,0.00035078926773227104,-0.0003186156339399663,3.253131220655957e-05,0.00035114694614652586,7630.667154009189,7670.816778755185,40.149624745995425,-0.10140595273440813,-0.09615887465774213,0.005247078076665995,1.5724117305181666,1.5793962956150658,0.0069845650968991535,270911.9680429254,1466411.1827605844,67727.99201073135,366602.7956901461
80.5,0.6108652381980153,35.0,6437772.116027732,59672.11602773238,0.09343916516979335,-0.00014303915432630312,7650.740865756674,-0.09878246663129721,1.5759039765952945,-5.659818427865217,90.29264677679363,0.00031535663600481715,0.0003297810474743837,9181.325607658147,9702.202183520389,59522.11602773238,59822.11602773238,inside,5,6437427.99492375,6437738.947101932,310.9521781820804,0.09355941928400587,0.09391020859517281,0.00035078931116694356,-0.00032013275220770405,3.1015004667881974e-05,0.000351147756875586,7632.888989484427,7673.04172302374,40.152733539312976,-0.10129245381863507,-0.0960452006955377,0.005247253123097373,1.5724587170311524,1.5794433518618172,0.006984634830664804,274350.52415351185,1484947.3840981051,68587.63103837796,371236.8460245263
80.75,0.6108652381980153,35.0,6437583.483392548,59483.483392547816,0.09373481651822288,-0.00014455586731071935,7652.964232314312,-0.09866888133742972,1.5759509971793322,-5.653310469911856,90.29534085780924,0.00032283783621723307,0.00033757293772103755,9404.612085195815,9937.198725182116,59333.483392547816,59633.483392547816,inside,5,6437239.522788543,6437550.476844749,310.9540562061593,0.09385516845110596,0.09420595780327591,0.0003507893521699501,-0.0003216643896469839,2.948419228681702e-05,0.0003511485819338009,7635.1580967102045,7675.314001147374,40.15590443716974,-0.1011756580279884,-0.09592822641760741,0.005247431610380993,1.5725062445553204,1.579490950501482,0.006984705946161629,277828.367161323,1503694.5203736671,69457.09179033076,375923.6300934168
81.0,0.6108652381980153,35.0,6437395.012197053,59295.01219705306,0.09403056570683992,-0.00014608709230967904,7655.234901242124,-0.09855199746868218,1.5759985594504324,-5.646613517539461,90.29806597520734,0.00033047416897118305,0.00034552572889109885,9632.79524921303,10177.327453433953,59145.01219705306,59445.01219705306,inside,5,6437051.217323728,6437362.173289928,310.9559661997482,0.09415101737908349,0.09450180676976058,0.00035078939067709203,-0.0003232107276099252,2.7938694004749552e-05,0.00035114942161467474,7637.475471695074,7677.634610129967,40.159138434893066,-0.10105549500801386,-0.09580788141560194,0.005247613592411923,1.572554321809571,1.5795391002734653,0.006984778463894337,281345.9441634552,1522654.9831845416,70336.4860408638,380663.7457961354
81.25,0.6108652381980153,35.0,6437206.707687956,59106.70768795628,0.0943264146551099,-0.00014763301052872745,7657.553869039987,-0.09843174464392664,1.5760466721375386,-5.639723538206442,90.30082262911955,0.00033826814676994415,0.00035364201346888506,9865.967517729154,10422.68478570577,58956.70768795628,59256.70768795628,inside,5,6436863.083895218,6437174.041804038,310.9579088203609,0.0944469680276903,0.0947977574543129,0.0003507894266226025,-0.000324771950716396,2.6378325500188754e-05,0.0003511502762165847,7639.842127297177,7680.004563832378,40.16243653520087,-0.10093189316048869,-0.09568409403702993,0.0052477991234587545,1.572602957612199,1.5795878100166025,0.0069848524044036076,284903.708265502,1541831.1961553865,71225.9270663755,385457.7990388466
81.5,0.6108652381980153,35.0,6437018.575231501,58918.5752315009,0.09462236532275227,-0.0001491938064387257,7659.922149061027,-0.0983080512380805,1.5760953440690066,-5.63263642809786,90.30361132537342,0.00034622229708728943,0.000361924399069248,10104.22257057807,10673.368446062716,58768.5752315009,59068.5752315009,inside,5,6436675.127990949,6436986.0878756875,310.9598847385496,0.0947430223976057,0.09509381185754481,0.0003507894599391187,-0.00032634824690545616,2.4802899137356164e-05,0.00035115114604281235,7642.259093356838,7682.424893104706,40.16579974786782,-0.10080477963045865,-0.09555679137231357,0.005247988258145084,1.57265216087898,1.579637088667232,0.006984927788251882,288502.1186573968,1561225.6153390552,72125.5296643492,390306.4038347638
81.75,0.6108652381980153,35.0,6436830.620315959,58730.620315958746,0.09491841971041319,-0.00015076966782727878,7662.340771644045,-0.09818084436915263,1.5761445841706836,-5.6253480113832195,90.30643257538232,0.00035433916124791645,0.00037037550727326657,10347.655346684087,10929.47746202567,58580.620315958746,58880.620315958746,inside,5,6436487.3552234145,6436798.31711805,310.9618946351111,0.09503918253111394,0.09538997202167157,0.0003507894905576264,-0.0003279398074868844,2.3212223914689576e-05,0.00035115203140157397,7644.727416822971,7684.8966459123385,40.169229089367946,-0.10067408029353266,-0.09542589924210278,0.005248181051429879,1.5727019406210647,1.5796869452570739,0.006985004636009151,292141.6406876947,1580840.7296088452,73035.41017192368,395210.1824022113
82.0,0.6108652381980153,35.0,6436642.848554164,58542.84855416417,0.09521457986034294,-0.00015236078585024665,7664.810784239752,-0.09805004988554761,1.5761944014637959,-5.617854039489059,90.3092868960244,0.0003626212932390431,0.000378997972392851,10596.362040123264,11191.112160118,58392.84855416417,58692.84855416417,inside,5,6436299.771332251,6436610.735271449,310.9639391982928,0.09533545051278623,0.09568624003119368,0.0003507895184074461,-0.00032954682719274383,2.1606105413304238e-05,0.0003511529326060481,7647.248161872864,7687.420887455342,40.17272558247805,-0.10053971974345881,-0.09529134218487223,0.005248377558586578,1.5727523059426762,1.5797373889109145,0.006985082968238299,295822.745936189,1600679.0610416436,73955.68648404726,400169.7652604109
82.25,0.6108652381980153,35.0,6436455.265686097,58355.26568609662,0.09551084785707788,-0.000153967355083297,7667.333251530356,-0.09791559235365214,1.5762448050626383,-5.610150190387703,90.31217480951035,0.0003710712584503606,0.0003877944401613586,10850.440094889937,11458.374160054887,58205.26568609662,58505.26568609662,inside,5,6436112.38218686,6436423.34820599,310.9660191303119,0.0956318284701668,0.09598261801358295,0.00035078954341614954,-0.00033116950422894476,1.9984345745455896e-05,0.00035115384997440064,7649.822410024852,7689.998700280735,40.17629025588303,-0.10040162128000757,-0.09515304344482671,0.005248577835180859,1.5728032660385995,1.579788428844078,0.006985162805478451,299545.91228449286,1620743.1652899724,74886.47807112322,405185.7913224931
82.5,0.6108652381980153,35.0,6436267.877581512,58167.877581511624,0.09580722582812658,-0.0001555895735734548,7669.909255542036,-0.09777739504572915,1.5762958041720565,-5.602232067903645,90.31509684323893,0.000379691632339763,0.00039676756634757985,11109.988198293204,11731.366367497094,58017.877581511624,58317.877581511624,inside,5,6435925.193789091,6436236.161924234,310.9681351426989,0.09592831857446299,0.09627910813997256,0.00035078956550957385,-0.000332808040326755,1.834674350305231e-05,0.0003511547838298073,7652.45126024339,7692.631184387118,40.179924143728385,-0.10025970689718819,-0.09501092496014114,0.005248781937047045,1.572854830191456,1.5798400743596848,0.006985244168228766,303311.62398432114,1641035.6319415285,75827.90599608028,410258.90798538213
