step,t_s,thruster
709,177.25,POD3_RPOS
718,179.5,POD0_RNEG
718,179.5,POD1_RNEG
718,179.5,POD2_RNEG
718,179.5,POD3_RNEG
723,180.75,POD0_RNEG
723,180.75,POD1_RNEG
723,180.75,POD2_RNEG
723,180.75,POD3_RNEG
724,181.0,POD0_RNEG
724,181.0,POD1_RNEG
724,181.0,POD2_RNEG
724,181.0,POD3_RNEG
737,184.25,POD0_RPOS
737,184.25,POD1_RPOS
737,184.25,POD2_RPOS
737,184.25,POD3_RPOS
738,184.5,POD0_RPOS
738,184.5,POD1_RPOS
738,184.5,POD2_RPOS
738,184.5,POD3_RPOS
744,186.0,POD0_RPOS
744,186.0,POD1_RPOS
744,186.0,POD2_RPOS
744,186.0,POD3_RPOS
753,188.25,POD0_RNEG
753,188.25,POD1_RNEG
753,188.25,POD2_RNEG
753,188.25,POD3_RNEG
759,189.75,POD0_RNEG
759,189.75,POD1_RNEG
